id_recruitment,nombre,descripcion,cArmas,cMunicion,cAlcohol,cDolar,velocidad,tHoras,tMinutos,tSegundos,facDura,puntosxnivel,imagenurl,ATA,DEF,CAR,VEL,PUNT
1,"Maton","Los Matones son unidades de combate simple, no dejarán escapar la oportunidad de atacar a cualquier unidad enemiga que detecte. En cantidades grandes incluso pueden ser muy peligrosos.",200,1000,0,0,1920,0,11,40,1,16,/img/U1K.gif,5,10,200,1920,6
2,"Portero","Una figura más Tranquila es el Portero, está más acostumbrado a tener mayor gente a su alrededor y las broncas correspondientes. Pero es de carácter parecido tiene un pronto muy malo y enseguida se enfada cuando siente que el enemigo está cerca.",500,800,0,0,2400,0,13,20,1,46,/img/U2K.gif,8,12,400,2400,6
3,"Acuchillador","Si a un matón le das una navaja, se convertirá en un acuchillador. La verdad es que no puedes esperar gran cosas de estos chicos, pero aun así son peligrosos porque los cuchillos no suelen ser de juguete sino de acero afilado",1000,200,0,0,3000,0,16,40,1,26,/img/U3K.gif,10,8,300,3000,4
4,"Pistolero","En combinación con una pistola esté tipo incluso llega a ser un desafío para tus enemigos. Después de pasar unas veces por la galería de tiro este tipo de unidades no son tan malas para las primeras batallas.",2000,3000,0,0,2800,0,10,0,1,76,/img/U4K.gif,30,20,500,2800,21
5,"Tropa de Ocupacion","El equipo de ocupación se encarga de ocupar nuevos edificios para tí y una vez hecho proceden a montarte tu nuevo despacho y modificar la entrada. La ocupación de edificios solo es posible con este tipo de unidades.",20000,10000,0,20000,400,23,46,40,1,24,/img/U5K.gif,1,20,3000,400,251
6,"Espia","El espía es escurridizo, rápido y preciso. No en una pelea, pero sí para recibir información. Espiará para ti a tus enemigos y te dará información directamente. Pero será asesinado si el dueño está en casa",500,200,0,0,160000000000,0,1,10,1,13,/img/U6K.gif,0,1,50,1600000000,3
7,"Porteador","Los porteadores son meras unidades civiles, que simplemente llevan cosas de aquí para allá. Por lo cual sólo los deberías utilizar como unidad de transporte y no como unidades de combate.",300,100,0,1000,2880,0,30,0,1,61,/img/U7K.gif,4,12,10000,2880,9
8,"Agente de la CIA","Este señor de cara seria pertenece a la C.I.A. por lo cual ya tiene un nivel bastante amplio tanto de entrenamiento como de formación. Pero no es demasiado leal y necesitará algo de entrenamiento para convencerle de tu causa. Una vez finalizada, será una unidad mortífera para tus enemigos ya que habrá alcanzado los mayores niveles de entrenamiento y formación.",7000,10000,0,2500,4080,2,21,40,1,96,/img/U8K.gif,100,180,3000,4080,87
9,"Agente del FBI","Si consigues sobornar a un Agente Federal del FBI deberías estar contento. No son del todo fiables si las cosas se ponen feas pero son muy inteligentes, incluso más que la mayoría de tus propias unidades, por el entrenamiento y la formación que han recibido.",4000,6000,0,1000,3600,2,9,10,1,76,/img/U9K.gif,60,100,2000,3600,48
10,"Transportista","Esta unidad es más un civil que un combatiente, puede transportar enormes cantidades y su entrenamiento no es muy costoso, por lo cual no le deberías maltratar enviándole inútilmente en misiones de ataque si no más bien aprovechar sus cualidades para transportar tus recursos.",1000,2000,0,5000,6000,2,23,20,1,53,/img/U10K.gif,6,16,40000,6000,51
11,"Experto Táctico","En cada familia es bueno tener a alguien que sepa al dedillo todas las buenas costumbres de etiqueta. Este chaval cumple todos los requisitos para ello, tiene profundos conocimientos de la anatomía humana, lo aprovecha para causar el mayor dolor si es necesario y a su vez es un experto en temas diplomáticos. Pero cuidado detrás de esa apariencia frágil se esconde en realidad un verdadero profesional del combate.",5000,10000,0,4000,4800,1,23,20,1,296,/img/U11K.gif,120,300,4000,4800,93
12,"Francotirador","Si los enemigos abundan, como en la mayoría de los casos sucede, y además son fuertes, ¿que hacer con ellos? Este es el encargo perfecto para ¡un tirador de élite! Por sus profundos conocimientos de la materia además de su indiscutible lealtad, te solucionará más de un problema. El único defecto que tiene es que no sirve mucho como unidad defensiva.",20000,5000,0,500,7200,2,46,40,1,471,/img/U12K.gif,200,20,1000,7200,28
13,"Asesino","El Tirador de élite mejorado es el Asesino profesional. Aunque su lealtad sólo la expresa annte los dólares es una de las mejores bazas cuando se trata de mandar al otro mundo a uno de tus enemigos, o de proteger tus bienes. Es todo un profesional por naturaleza.",10000,15000,0,10000,7800,0,50,0,1,321,/img/U13K.gif,300,400,2000,7800,176
14,"Ninja","Sobre el Ninja la verdad es que sabe poco. Son extremadamente leales y su radio de actuación es considerable, teniendo en cuenta el campo de batalla que ocupan. Por sus propios medios se han ganado uno de los puesto de guerreros de élite entre tus filas.",2000,1000,0,5000,9600,5,33,20,1,301,/img/U14K.gif,400,1200,5000,9600,236
15,"Experto en Demoliciones","Este tipo es capaz de cargarse a varios enemigos de un tirón, quizá no sea demasiado bueno en el combate físico, pero la ventaja es evidente. Puede hacer maravillas con un buen entrenamiento.",40000,6000,0,20000,4200,8,20,0,1,200,/img/U15K.gif,2000,400,2500,4200,281
16,"Mercenario","Esta es la nueva versión de rambo. Es rápido, preciso, leal y está armado hasta los dientes, así que los enemigos no sonríen cuando oyen hablar de él, su único inconveniente es el precio.",80000,120000,0,50000,5400,20,0,0,1,4201,/img/U16K.gif,1000,2400,12000,5400,1176
